template_id,status,agent_selectable,canonical_question_type,primary_capability,fixed_question_template,required_fields,scoring,validity_filters,replacement_template_id,original_question,original_format
T059,POSE_3D_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A7_EGOCENTRIC_POSE_3D,在三维坐标中，标注物体 A 的垂直位置是否高于标注物体 B？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_A}` 是否高于 `{object_B}`？,F3 判断题
T060,POSE_3D_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A5_VISIBLE_SCALE_3D_SIZE,在候选标注物体中，哪个物体的可见三维包围盒体积最大？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体的 3D 包围盒体积最大？,F1 单选题
T061,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：3D bbox y 方向尺寸不是自然评测语义；用 T060/T063 替代。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T060/T063,哪个候选物体的 3D 包围盒高度最大？,F1 单选题
T062,POSE_3D_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A5_VISIBLE_SCALE_3D_SIZE,标注物体 A 的可见三维包围盒体积是否大于标注物体 B？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_A}` 的 3D 尺寸是否大于 `{object_B}`？,F10 对比选择题
T063,POSE_3D_EXTENDED_SELECTABLE,True,QT5_ORDERING,A5_VISIBLE_SCALE_3D_SIZE,将候选标注物体按可见三维包围盒体积从大到小排序。,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",Kendall Tau / Pairwise Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,将候选物体按 3D 体积从大到小排序。,F5 排序题
T064,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：世界坐标左侧不适合普通图文评测；用图像平面左右或身体坐标左右模板替代。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T021/T022/T053,`{object_A}` 是否位于 `{object_B}` 的世界坐标左侧？,F3 判断题
T065,POSE_3D_EXTENDED_SELECTABLE,True,QT6_STRUCTURED_MATCH,A7_EGOCENTRIC_POSE_3D,选择标注物体 A 相对机器人/自车的方位类别，并选择其距离区间。,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",Schema Check + Field Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,给出 `{object_A}` 相对机器人/自车的粗略方位与距离区间。,F24 JSON 结构化输出题
T066,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,机器人/自车从第一帧到最后一帧整体向哪个坐标方向移动？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,机器人/自车从第 1 帧到最后一帧整体向哪个方向移动？,F1 单选题
T067,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,机器人/自车在序列中是否发生超过阈值的位移？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,机器人/自车在序列中是否发生明显位移？,F3 判断题
T068,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选相邻帧段中，哪一段机器人/自车位移最大？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪一段帧间位移最大？,F1 单选题
T069,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：按帧序号排序容易泄漏时间元数据，不能作为视觉评测模板。,['not_selectable'],Exact Match / Edit Distance,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T075/T076/T080,将候选帧按机器人/自车经过的时间顺序排序。,F19 步骤排序题
T070,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在序列中，`{category_A}` 首次可见是否早于 `{category_B}`？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_category}` 在序列中是先出现还是后出现于 `{category_B}`？,F10 对比选择题
T071,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选物体类别中，哪个类别在序列中最早首次可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个物体类别在序列中最早出现？,F1 单选题
T072,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选物体类别中，哪个类别在序列中最晚首次可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个物体类别在序列中最晚出现？,F1 单选题
T073,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,`{object_category}` 是否在整个序列的每一帧中都可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_category}` 是否在整个序列中持续出现？,F3 判断题
T074,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,`{object_category}` 是否在序列中出现过由可见到不可见的变化？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_category}` 是否从序列中消失过？,F3 判断题
T075,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 首次可见的图像。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择 `{object_category}` 首次出现的图像。,F11 图片选择题
T076,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 最后一次可见的图像。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择 `{object_category}` 最后出现的图像。,F11 图片选择题
T077,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,从第 `{i}` 帧到第 `{j}` 帧，目标物体与机器人/自车的距离是变近、变远还是基本不变？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,从第 `{i}` 帧到第 `{j}` 帧，目标物体与机器人/自车的距离是变近、变远还是基本不变？,F1 单选题
T078,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选物体中，哪个物体在序列中与机器人/自车的距离变化最大？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体在序列中与机器人/自车的距离变化最大？,F1 单选题
T079,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,判断描述“机器人/自车先接近物体 A，再接近物体 B”是否成立。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,判断描述“机器人/自车先接近 `{object_A}`，再接近 `{object_B}`”是否成立。,F3 判断题
T080,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择与机器人/自车运动轨迹最匹配的文字描述。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择与机器人/自车运动轨迹最匹配的文字描述。,F12 图文匹配题
T081,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：不可答/能否判断类三选题，不进入模板库。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T001,当前图像是否足以判断 `{object_category}` 是否可见？,F4 三选判断题
T082,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：无法由图像支持类模板会引入不可答判断；用 T085 证据冲突单选替代。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T085,下列哪一项描述无法由当前单张图像直接支持？,F20 错误检测题
T083,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：能否仅凭图像判断类三选题，不进入模板库。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T036/T040,当前图像中，`{object_A}` 和 `{object_B}` 的三维远近关系能否仅凭图像判断？,F4 三选判断题
T084,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：元问题，不作为图文 benchmark 题干；用 T001 负例替代。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T001,某个不在可见物体列表中的 `{object_category}` 是否应该作为当前图像答案？,F3 判断题
T085,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,下列哪一项与当前图像中的可见物体类别或空间证据冲突？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,给定候选描述，选择其中与当前图像证据冲突的一项。,F20 错误检测题
T086,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在多帧序列中，`{object_category}` 是否从不可见变为可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在多帧序列中，`{object_category}` 是否从不可见变为可见？,F3 判断题
T087,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在多帧序列中，`{object_category}` 是否从可见变为不可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在多帧序列中，`{object_category}` 是否从可见变为不可见？,F3 判断题
T088,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 从不可见变为可见的第一帧。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择 `{object_category}` 从不可见变为可见的第一帧。,F11 图片选择题
T089,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 从可见变为不可见之前的最后一帧。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择 `{object_category}` 从可见变为不可见之前的最后一帧。,F11 图片选择题
T090,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：不可见目标距离是否可回答是不可答三选题，不进入模板库。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T001/T040,判断问题“当前图像中不可见的 `{object_category}` 距离相机多远？”是否可回答。,F4 三选判断题
T091,DEPTH_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A4_DEPTH_DISTANCE_LAYER,观察标注图，物体 A 是否比物体 B 更靠近相机？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在当前图像中，`{object_A}` 是否比 `{object_B}` 更靠前？,F3 判断题
T092,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,当两个候选物体的可见区域邻近或重叠时，哪个物体更靠近相机？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,如果两个物体 mask 有重叠，哪个物体更靠近相机？,F1 单选题
T093,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：“可能遮挡”是弱因果推断，自动评测不稳定。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T092/T094,`{object_A}` 是否可能遮挡 `{object_B}` 的一部分？,F4 三选判断题
T094,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注区域中，选择最靠近相机的前景物体。,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择与“前景物体”对应的 mask。,F16 Mask 选择题
T095,DEPTH_SELECTABLE,True,QT5_ORDERING,A4_DEPTH_DISTANCE_LAYER,将候选标注物体按深度层次由近到远排序。,"['image', 'objects.bbox_2d', 'objects.depth_median']",Kendall Tau / Pairwise Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,将候选物体按图像深度层次由前到后排序。,F5 排序题
T096,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，选择“位于图像左半区且距离相机最近的 `{object_category}` 实例”。,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择“图像左侧且距离相机最近的 `{object_category}`”。,F1 单选题
T097,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，选择“位于图像右半区且可见面积最大的物体”。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择“图像右侧且可见面积最大的物体”。,F1 单选题
T098,POSE_3D_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A7_EGOCENTRIC_POSE_3D,在候选物体中，选择“位于机器人/自车身体坐标系前方且距离最近”的物体。,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在候选物体中，选择“距离机器人/自车最近且位于前方”的物体。,F1 单选题
T099,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：多属性 JSON 匹配容易一物多属性和隐藏评分噪声；拆成 T021/T022/T036/T095。,['not_selectable'],Pair Accuracy / Full Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T021/T022/T036/T095,将候选物体与其空间属性进行匹配：左侧/右侧/更近/更远。,F6 匹配题
T100,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：输出 object_id/depth_median 属于隐藏元数据，不作为图文评测。,['not_selectable'],Schema Check + Field Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T096/T097,输出满足条件的物体列表：可见、属于 `{object_category}`、深度小于 `{threshold}`。,F24 JSON 结构化输出题
